"Date","Price","Open","High","Low","Vol.","Change %"
"08/06/2021","363.51","361.40","365.15","361.39","8.93M","0.15%"
"08/05/2021","362.97","359.64","363.90","356.90","10.25M","1.13%"
"08/04/2021","358.92","352.42","360.48","351.51","14.18M","2.19%"
"08/03/2021","351.24","352.73","353.77","347.70","12.41M","-0.20%"
"08/02/2021","351.95","358.10","359.40","350.74","13.18M","-1.22%"
"07/30/2021","356.30","354.00","360.73","352.94","15.98M","-0.56%"
"07/29/2021","358.32","361.00","365.52","356.74","33.41M","-4.01%"
"07/28/2021","373.28","374.56","377.55","366.93","29.68M","1.49%"
"07/27/2021","367.81","371.91","373.15","364.55","15.71M","-1.25%"
"07/26/2021","372.46","369.58","374.44","368.22","14.93M","0.72%"
"07/23/2021","369.79","360.91","375.33","357.19","33.69M","5.30%"
"07/22/2021","351.19","346.68","351.54","345.21","12.39M","1.43%"
"07/21/2021","346.23","341.50","346.52","341.25","9.28M","1.34%"
"07/20/2021","341.66","338.80","343.45","334.50","11.02M","1.40%"
"07/19/2021","336.95","337.57","339.79","334.54","14.37M","-1.23%"
"07/16/2021","341.16","344.91","345.99","340.14","11.03M","-0.96%"
"07/15/2021","344.46","349.23","349.23","340.22","14.78M","-0.91%"
"07/14/2021","347.63","354.56","355.20","346.73","13.89M","-1.27%"
"07/13/2021","352.09","351.50","358.49","348.80","11.46M","-0.30%"
"07/12/2021","353.16","351.23","354.19","349.64","10.02M","0.78%"
"07/09/2021","350.42","345.32","350.71","345.26","13.02M","1.38%"
"07/08/2021","345.65","345.73","348.33","342.56","14.41M","-1.38%"
"07/07/2021","350.49","355.26","356.49","350.00","14.22M","-0.65%"
"07/06/2021","352.78","356.50","358.79","349.18","13.49M","-0.54%"
"07/02/2021","354.70","355.10","356.44","352.62","11.52M","0.09%"
"07/01/2021","354.39","346.82","354.67","346.50","17.14M","1.92%"
"06/30/2021","347.71","352.17","352.92","347.17","15.11M","-1.19%"
