"","date","price","open","high","low","vol","change_percent"
"385",2021-12-22,330.45,333.8,334.51,328.26,"16.76M",-1.12
"386",2021-12-21,334.2,326.41,336,323.75,"16.12M",2.69
"387",2021-12-20,325.45,329.77,329.9,322.53,"17.90M",-2.5
"388",2021-12-17,333.79,332.8,337.11,330.75,"40.01M",-0.33
"389",2021-12-16,334.9,338.98,344.46,333.74,"22.64M",-1.98
"390",2021-12-15,341.66,332.49,342.11,323.98,"24.68M",2.37
"391",2021-12-14,333.74,328.05,335.7,327.65,"20.46M",-0.22
"392",2021-12-13,334.49,330.95,341.09,329.59,"22.95M",1.44
"393",2021-12-10,329.75,332.56,335.03,326.37,"14.53M",-0.02
"394",2021-12-09,329.82,329.54,336.13,328,"16.88M",-0.22
"395",2021-12-08,330.56,325,332.75,323.07,"19.94M",2.4
"396",2021-12-07,322.81,321.57,326.54,321,"18.79M",1.55
"397",2021-12-06,317.87,308.13,320.1,306.34,"21.76M",3.59
"398",2021-12-03,306.84,313.73,313.75,299.5,"27.47M",-1.14
"399",2021-12-02,310.39,311.4,314.6,307.2,"24.40M",-0.07
"400",2021-12-01,310.6,330.29,330.5,310.29,"30.38M",-4.27
"401",2021-11-30,324.46,335,335.81,323.43,"25.39M",-4.01
"402",2021-11-29,338.03,336.89,340.67,335.31,"16.65M",1.47
"403",2021-11-26,333.12,335.8,337.75,331.9,"14.75M",-2.33
"404",2021-11-24,341.06,336,341.78,332.81,"13.57M",1.13
"405",2021-11-23,337.25,338.93,341.4,333.5,"17.22M",-1.1
"406",2021-11-22,341.01,349.05,353.83,340.51,"27.12M",-1.24
"407",2021-11-19,345.3,342.2,352.1,339.9,"26.49M",1.95
"408",2021-11-18,338.69,339.72,342.46,335.3,"17.49M",-0.61
"409",2021-11-17,340.77,344.24,347.3,340.1,"13.60M",-0.64
"410",2021-11-16,342.96,343.83,346.65,340.87,"18.18M",-1.32
"411",2021-11-15,347.56,344.34,353.65,343.2,"25.08M",1.96
"412",2021-11-12,340.89,330.18,341.86,329.78,"25.41M",4.01
"413",2021-11-11,327.74,329.82,332.46,327,"12.38M",0.03
"414",2021-11-10,327.64,332.49,333.19,325.51,"21.87M",-2.3
"415",2021-11-09,335.37,340,341.31,334.47,"17.56M",-0.96
"416",2021-11-08,338.62,344.42,344.79,338.34,"18.34M",-0.74
"417",2021-11-05,341.13,340.31,346.79,339.64,"26.87M",1.57
"418",2021-11-04,335.85,334.01,337.27,332.65,"22.50M",1.28
"419",2021-11-03,331.62,327.49,332.15,323.2,"20.79M",1.08
"420",2021-11-02,328.08,331.38,334.79,323.8,"28.35M",-0.58
"421",2021-11-01,329.98,326.04,333.45,326,"31.52M",1.98
"422",2021-10-29,323.57,320.19,326,319.6,"37.06M",2.1
"423",2021-10-28,316.92,312.99,325.52,308.11,"50.81M",1.51
"424",2021-10-27,312.22,314.19,319.25,312.06,"29.97M",-1.14
"425",2021-10-26,315.81,328.26,330.21,309.6,"65.65M",-3.92
"426",2021-10-25,328.69,320.3,329.56,319.72,"38.41M",1.26
"427",2021-10-22,324.61,326.35,329.63,321.11,"35.22M",-5.05
"428",2021-10-21,341.88,340.27,342.31,337.8,"16.35M",0.32
"429",2021-10-20,340.78,343.44,343.98,339.45,"13.64M",0.23
"430",2021-10-19,339.99,339.64,342.46,337.28,"18.79M",1.39
"431",2021-10-18,335.34,328.95,335.89,327.5,"21.59M",3.26
"432",2021-10-15,324.76,328.68,329.07,322.51,"21.60M",-1.15
"433",2021-10-14,328.53,328.36,330.52,327.1,"14.30M",1.23
"434",2021-10-13,324.54,326.97,327,322.66,"14.76M",0.24
"435",2021-10-12,323.77,323.03,324.38,317.37,"31.66M",-0.52
"436",2021-10-11,325.45,327.62,330.46,325.31,"14.71M",-1.39
"437",2021-10-08,330.05,331.51,333.4,328.71,"15.95M",0.25
"438",2021-10-07,329.22,337,338.84,328.98,"28.31M",-1.32
"439",2021-10-06,333.64,329.74,334.38,325.8,"26.44M",0.2
"440",2021-10-05,332.96,328.58,335.18,326.16,"35.38M",2.06
"441",2021-10-04,326.23,335.53,335.94,322.7,"42.88M",-4.89
"442",2021-10-01,343.01,341.61,345.02,338.64,"14.91M",1.07
"443",2021-09-30,339.39,340.44,342.8,338.15,"16.55M",-0.06
"444",2021-09-29,339.61,343.15,345.23,338.88,"14.45M",-0.31
"445",2021-09-28,340.65,347.97,349.6,338.92,"21.71M",-3.66
"446",2021-09-27,353.58,349.81,355.15,347.08,"15.21M",0.18
"447",2021-09-24,352.96,343.24,354.35,342.37,"18.80M",2.02
"448",2021-09-23,345.96,345.36,349.67,343,"21.81M",0.8
"449",2021-09-22,343.21,347.23,349.84,340.69,"43.69M",-3.99
"450",2021-09-21,357.48,358.5,360.04,355.19,"11.75M",0.5
"451",2021-09-20,355.7,359.3,361.03,349.8,"19.82M",-2.47
"452",2021-09-17,364.72,371.4,371.41,361.59,"26.30M",-2.24
"453",2021-09-16,373.06,372.79,373.56,369.71,"11.93M",-0.23
"454",2021-09-15,373.92,377,377.56,367.67,"17.94M",-0.69
"455",2021-09-14,376.53,377.4,378.59,375.11,"8.71M",0.01
"456",2021-09-13,376.51,381.68,381.75,374.35,"13.03M",-0.58
"457",2021-09-10,378.69,381.36,383.79,378.26,"11.55M",0.18
"458",2021-09-09,378,377.64,379.83,376.56,"9.10M",0.11
"459",2021-09-08,377.57,380.16,380.87,374.79,"11.07M",-1.21
"460",2021-09-07,382.18,375.88,382.96,373.15,"10.80M",1.57
"461",2021-09-03,376.26,374.75,377.16,373.11,"7.51M",0.26
"462",2021-09-02,375.28,381.5,381.75,374.06,"14.84M",-1.77
"463",2021-09-01,382.05,379.59,384.33,378.81,"11.57M",0.7
"464",2021-08-31,379.38,379.95,382.76,378.8,"12.35M",-0.34
"465",2021-08-30,380.66,372.56,381.49,370.52,"13.55M",2.15
"466",2021-08-27,372.63,365.1,373.74,364.08,"11.22M",2.26
"467",2021-08-26,364.38,368.38,369.44,364.13,"7.89M",-1.09
"468",2021-08-25,368.39,365.6,370.86,365.4,"9.68M",0.79
"469",2021-08-24,365.51,363.66,367.96,361.84,"9.24M",0.59
"470",2021-08-23,363.35,359.44,365.69,359.1,"10.94M",1.11
"471",2021-08-20,359.37,354.6,359.99,353.31,"8.70M",1.2
"472",2021-08-19,355.12,351.35,357.57,351,"12.00M",-0.09
"473",2021-08-18,355.45,356.25,359.86,355.15,"10.04M",-0.84
"474",2021-08-17,358.45,362.98,364.67,355.07,"12.33M",-2.21
"475",2021-08-16,366.56,362.52,366.95,357.38,"11.23M",0.93
"476",2021-08-13,363.18,362.97,364.66,361.48,"7.20M",0.15
"477",2021-08-12,362.65,358.45,363,357.11,"7.18M",0.75
"478",2021-08-11,359.96,362.1,362.36,357.81,"8.40M",-0.32
"479",2021-08-10,361.13,361.82,364.1,359.04,"7.47M",-0.13
"480",2021-08-09,361.61,363.76,365.77,360.75,"7.80M",-0.52
"481",2021-08-06,363.51,361.4,365.15,361.39,"8.93M",0.15
"482",2021-08-05,362.97,359.64,363.9,356.9,"10.25M",1.13
"483",2021-08-04,358.92,352.42,360.48,351.51,"14.18M",2.19
"484",2021-08-03,351.24,352.73,353.77,347.7,"12.41M",-0.2
"485",2021-08-02,351.95,358.1,359.4,350.74,"13.18M",-1.22
"486",2021-07-30,356.3,354,360.73,352.94,"15.98M",-0.56
"487",2021-07-29,358.32,361,365.52,356.74,"33.41M",-4.01
"488",2021-07-28,373.28,374.56,377.55,366.93,"29.68M",1.49
"489",2021-07-27,367.81,371.91,373.15,364.55,"15.71M",-1.25
"490",2021-07-26,372.46,369.58,374.44,368.22,"14.93M",0.72
"491",2021-07-23,369.79,360.91,375.33,357.19,"33.69M",5.3
"492",2021-07-22,351.19,346.68,351.54,345.21,"12.39M",1.43
"493",2021-07-21,346.23,341.5,346.52,341.25,"9.28M",1.34
"494",2021-07-20,341.66,338.8,343.45,334.5,"11.02M",1.4
"495",2021-07-19,336.95,337.57,339.79,334.54,"14.37M",-1.23
"496",2021-07-16,341.16,344.91,345.99,340.14,"11.03M",-0.96
"497",2021-07-15,344.46,349.23,349.23,340.22,"14.78M",-0.91
"498",2021-07-14,347.63,354.56,355.2,346.73,"13.89M",-1.27
"499",2021-07-13,352.09,351.5,358.49,348.8,"11.46M",-0.3
"500",2021-07-12,353.16,351.23,354.19,349.64,"10.02M",0.78
"501",2021-07-09,350.42,345.32,350.71,345.26,"13.02M",1.38
"502",2021-07-08,345.65,345.73,348.33,342.56,"14.41M",-1.38
"503",2021-07-07,350.49,355.26,356.49,350,"14.22M",-0.65
"504",2021-07-06,352.78,356.5,358.79,349.18,"13.49M",-0.54
"505",2021-07-02,354.7,355.1,356.44,352.62,"11.52M",0.09
"506",2021-07-01,354.39,346.82,354.67,346.5,"17.14M",1.92
"507",2021-06-30,347.71,352.17,352.92,347.17,"15.11M",-1.19
"508",2021-06-29,351.89,356.27,356.74,349.05,"21.42M",-1.05
"509",2021-06-28,355.64,342.46,358.14,341.77,"29.16M",4.18
"510",2021-06-25,341.37,342.59,344.12,339.68,"14.59M",-0.53
"511",2021-06-24,343.18,341.85,344.9,341.79,"12.33M",0.76
"512",2021-06-23,340.59,339.35,343.42,338.2,"14.82M",0.46
"513",2021-06-22,339.03,332.69,339.92,332.6,"15.35M",2.03
"514",2021-06-21,332.29,331.09,332.92,327.65,"11.34M",0.8
"515",2021-06-18,329.66,334.53,336.15,329,"23.04M",-2.04
"516",2021-06-17,336.51,330.49,337.98,330.15,"17.79M",1.64
"517",2021-06-16,331.08,336.69,337.55,328.72,"17.23M",-1.68
"518",2021-06-15,336.75,336.99,339.92,335.03,"15.80M",-0.01
"519",2021-06-14,336.77,331.9,336.82,329.81,"12.25M",1.66
"520",2021-06-11,331.26,332.58,332.83,328.93,"13.59M",-0.36
"521",2021-06-10,332.46,330.79,333.94,328.55,"13.24M",0.67
"522",2021-06-09,330.25,335.74,336.8,330,"13.73M",-1.03
"523",2021-06-08,333.68,336.7,338.3,332.24,"14.58M",-0.86
"524",2021-06-07,336.58,329.48,337.69,328.93,"20.14M",1.89
"525",2021-06-04,330.35,325.9,332.45,325.18,"13.29M",1.32
"526",2021-06-03,326.04,325.78,327.38,323.48,"12.61M",-0.94
"527",2021-06-02,329.15,330.38,331.87,327.12,"11.65M",0.01
"528",2021-06-01,329.13,330.15,331.42,326.64,"11.77M",0.12
"529",2021-05-28,328.73,331,332.87,328.33,"12.04M",-1.21
"530",2021-05-27,332.75,328,333.78,326.76,"20.48M",1.55
"531",2021-05-26,327.66,328.35,329.83,325.82,"9.69M",-0.04
"532",2021-05-25,327.79,327.08,329.18,324.8,"16.44M",0.97
"533",2021-05-24,324.63,318.21,325.95,318.03,"16.45M",2.66
"534",2021-05-21,316.23,319.29,319.93,315.81,"13.60M",-0.75
"535",2021-05-20,318.61,313.58,319.25,313.16,"17.32M",1.6
"536",2021-05-19,313.59,304.19,314.66,303.57,"19.11M",1.17
"537",2021-05-18,309.96,315.59,316.5,309.81,"14.52M",-1.74
"538",2021-05-17,315.46,313.55,315.68,311.58,"15.40M",-0.15
"539",2021-05-14,315.94,309.54,316.85,309.08,"19.25M",3.5
"540",2021-05-13,305.26,306.08,308.86,302.77,"18.08M",0.9
"541",2021-05-12,302.55,301.13,304.96,298.19,"24.64M",-1.3
"542",2021-05-11,306.53,300.75,306.84,299.69,"18.92M",0.18
"543",2021-05-10,305.97,314.35,314.58,304.83,"24.24M",-4.11
"544",2021-05-07,319.08,322.38,322.94,318.75,"15.92M",-0.29
"545",2021-05-06,320.02,314.52,320.24,313.27,"19.01M",1.59
"546",2021-05-05,315.02,318.19,321.06,314.49,"15.58M",-1.05
"547",2021-05-04,318.36,320.02,322.19,313.12,"24.03M",-1.31
"548",2021-05-03,322.58,326.17,328.55,321.84,"18.72M",-0.77
"549",2021-04-30,325.08,326.14,329.82,324.5,"26.33M",-1.34
"550",2021-04-29,329.51,330.12,331.81,321.61,"56.53M",7.3
"551",2021-04-28,307.1,307.36,310.92,305.37,"33.91M",1.16
"552",2021-04-27,303.57,304.28,305.34,301.11,"15.31M",0.17
"553",2021-04-26,303.04,303.34,305.8,301.56,"16.17M",0.63
"554",2021-04-23,301.13,298.76,302.59,297.15,"17.56M",1.55
"555",2021-04-22,296.52,301.33,302.92,296.04,"16.38M",-1.64
"556",2021-04-21,301.47,301.94,301.98,297.39,"14.86M",-0.39
"557",2021-04-20,302.65,301.99,305.1,297.21,"16.80M",0.14
"558",2021-04-19,302.24,305.01,307.7,300.56,"14.55M",-1.29
"559",2021-04-16,306.18,308.17,308.95,304.61,"13.06M",-0.53
"560",2021-04-15,307.82,306.34,310.14,304.1,"14.56M",1.65
"561",2021-04-14,302.82,307.3,308.03,301.95,"17.42M",-2.24
"562",2021-04-13,309.76,312.21,314.43,309.32,"14.04M",-0.57
"563",2021-04-12,311.54,311.05,312.15,307.93,"10.88M",-0.29
"564",2021-04-09,312.46,311.4,314.74,310.33,"15.99M",-0.18
"565",2021-04-08,313.02,314.85,315.88,310.05,"20.89M",-0.02
"566",2021-04-07,313.09,306.34,314.25,305.5,"22.86M",2.23
"567",2021-04-06,306.26,308.84,311.35,305.25,"17.34M",-0.86
"568",2021-04-05,308.91,300.89,310.76,300.68,"28.24M",3.43
"569",2021-04-01,298.66,298.4,302.4,296.6,"17.62M",1.4
"570",2021-03-31,294.53,289.99,296.5,288.61,"19.50M",2.27
"571",2021-03-30,288,289.83,292.47,286.7,"17.47M",-0.97
"572",2021-03-29,290.82,285.77,293.18,284.7,"21.72M",2.76
"573",2021-03-26,283.02,278.3,284.5,277.77,"17.63M",1.54
"574",2021-03-25,278.74,280.98,288.06,277.75,"24.51M",-1.21
"575",2021-03-24,282.14,291,291.72,281.16,"18.68M",-2.92
"576",2021-03-23,290.63,293.15,298,289.81,"23.00M",-0.99
"577",2021-03-22,293.54,290.45,299.7,286.75,"28.27M",1.18
"578",2021-03-19,290.11,281.22,292.8,281.19,"38.93M",4.12
"579",2021-03-18,278.62,279.87,285.19,278.28,"18.75M",-1.9
"580",2021-03-17,284.01,275.7,286.23,275.41,"21.32M",1.69
"581",2021-03-16,279.28,276.08,282.14,274.8,"22.44M",2.02
"582",2021-03-15,273.75,269.08,275.96,268.5,"16.86M",1.99
"583",2021-03-12,268.4,269.14,269.74,264.02,"20.60M",-2
"584",2021-03-11,273.88,268.11,277.9,267.82,"21.83M",3.39
"585",2021-03-10,264.9,268.64,268.97,262.87,"14.21M",-0.32
"586",2021-03-09,265.74,261.18,268.53,259.81,"22.04M",4.09
"587",2021-03-08,255.31,265.55,265.58,255.05,"18.39M",-3.39
"588",2021-03-05,264.28,260.67,265.45,255.61,"26.82M",2.58
"589",2021-03-04,257.64,256.47,266.49,253.5,"31.63M",0.87
"590",2021-03-03,255.41,260.29,260.99,255.1,"15.51M",-1.39
"591",2021-03-02,259,265.78,266.71,258.65,"15.19M",-2.23
"592",2021-03-01,264.91,260.82,266.65,257.9,"22.16M",2.83
"593",2021-02-26,257.62,256.47,265.55,256.47,"26.62M",1.15
"594",2021-02-25,254.69,262.3,266.94,254.04,"19.05M",-3.64
"595",2021-02-24,264.31,262.32,266.38,258.39,"15.74M",-0.58
"596",2021-02-23,265.86,259.5,267.46,254.96,"21.92M",2.12
"597",2021-02-22,260.33,257.95,263.07,257.53,"17.43M",-0.47
"598",2021-02-19,261.56,269.86,270.27,260.15,"25.62M",-2.91
"599",2021-02-18,269.39,269.56,271.95,266.03,"15.25M",-1.53
"600",2021-02-17,273.57,271.24,273.97,269.58,"12.76M",-0.15
"601",2021-02-16,273.97,270.8,276.6,270.05,"15.42M",1.28
"602",2021-02-12,270.5,270.52,271.18,268.34,"9.10M",0.04
"603",2021-02-11,270.39,271.89,273.58,268.49,"12.83M",-0.54
"604",2021-02-10,271.87,272.45,273.8,267.72,"14.69M",0.9
"605",2021-02-09,269.45,266.44,273.39,265.75,"14.61M",1.08
"606",2021-02-08,266.58,268.75,269.86,265,"13.76M",-0.57
"607",2021-02-05,268.1,266.8,269.17,265.67,"12.45M",0.6
"608",2021-02-04,266.49,267.01,268.16,264,"16.06M",-0.06
"609",2021-02-03,266.65,265.62,269.2,263.84,"14.22M",-0.16
"610",2021-02-02,267.08,264,268.85,263.27,"17.32M",1.94
"611",2021-02-01,262.01,259.52,264.17,254.91,"22.91M",1.42
"612",2021-01-29,258.33,265.3,266.56,254.85,"30.39M",-2.52
"613",2021-01-28,265,277.18,286.79,264.7,"37.76M",-2.62
"614",2021-01-27,272.14,282.53,283.45,268.12,"35.35M",-3.51
"615",2021-01-26,282.05,278.14,285.39,277.81,"19.37M",1.45
"616",2021-01-25,278.01,278.14,280.1,271.51,"19.09M",1.28
"617",2021-01-22,274.5,272.01,278.47,272,"21.95M",0.6
"618",2021-01-21,272.87,269.26,273.6,267.49,"20.84M",2.02
"619",2021-01-20,267.48,268.93,270.32,263.6,"25.20M",2.44
"620",2021-01-19,261.1,256.9,262.2,252.72,"28.03M",3.87
"621",2021-01-15,251.36,247.9,253.86,247.16,"24.94M",2.33
"622",2021-01-14,245.64,253.4,255.03,244.61,"29.74M",-2.38
"623",2021-01-13,251.64,251.55,253.95,249.2,"19.53M",0.22
"624",2021-01-12,251.09,256.63,259.72,250.3,"26.45M",-2.24
"625",2021-01-11,256.84,260.48,263.47,255.9,"30.41M",-4.01
"626",2021-01-08,267.57,268.31,268.95,263.18,"18.53M",-0.44
"627",2021-01-07,268.74,265.9,271.61,264.78,"15.79M",2.06
"628",2021-01-06,263.31,262,267.75,260.01,"24.35M",-2.83
"629",2021-01-05,270.97,268.29,272.4,268.21,"9.87M",0.75
"630",2021-01-04,268.94,274.78,275,265.2,"15.11M",-1.54
"631",2020-12-31,273.16,272,277.09,269.81,"12.90M",0.47
"632",2020-12-30,271.87,277.95,278.08,271.71,"11.80M",-1.77
"633",2020-12-29,276.78,276.95,280.51,276.28,"16.38M",-0.08
"634",2020-12-28,277,268.74,277.3,265.66,"23.30M",3.59
"635",2020-12-24,267.4,268.88,270.4,266.2,"6.70M",-0.26
"636",2020-12-23,268.11,266.89,272.17,266.23,"14.33M",0.38
"637",2020-12-22,267.09,271.5,271.5,264.63,"17.34M",-2.09
"638",2020-12-21,272.79,272.98,274.67,267.79,"16.55M",-1.31
"639",2020-12-18,276.4,275.77,278,271.14,"26.69M",0.7
"640",2020-12-17,274.48,277.07,280.44,273.61,"16.38M",-0.43
"641",2020-12-16,275.67,274.76,277.86,272.51,"15.88M",0.04
"642",2020-12-15,275.55,274.83,276.08,267.47,"23.98M",0.5
"643",2020-12-14,274.19,273.37,277.22,271.56,"16.38M",0.23
"644",2020-12-11,273.55,274.53,276.48,270.25,"14.39M",-1.29
"645",2020-12-10,277.12,275.54,278.73,271.86,"20.07M",-0.29
"646",2020-12-09,277.92,283.66,287.63,271.75,"25.19M",-1.93
"647",2020-12-08,283.4,286.01,286.43,281.55,"10.75M",-0.76
"648",2020-12-07,285.58,279.19,288.49,278.2,"13.01M",2.1
"649",2020-12-04,279.7,280.3,283.46,279.3,"10.88M",-0.76
"650",2020-12-03,281.85,286.25,286.65,281.07,"12.92M",-1.97
"651",2020-12-02,287.52,285.36,291.78,280.82,"17.36M",0.34
"652",2020-12-01,286.55,279.16,289.3,278.96,"20.78M",3.46
"653",2020-11-30,276.97,276.03,277.7,271.01,"16.69M",-0.3
"654",2020-11-27,277.81,277.39,279.13,274.82,"7.81M",0.81
"655",2020-11-25,275.59,278.14,280.18,272.65,"12.47M",-0.48
"656",2020-11-24,276.92,268.49,277.82,267.87,"16.93M",3.16
"657",2020-11-23,268.43,270.89,270.95,264.53,"20.99M",-0.47
"658",2020-11-20,269.7,272.56,273,269.41,"18.12M",-1.19
"659",2020-11-19,272.94,271.02,273.47,269.19,"12.96M",0.36
"660",2020-11-18,271.97,274.52,277.39,271.84,"12.15M",-1.1
"661",2020-11-17,275,277.68,277.68,273.29,"15.04M",-1.42
"662",2020-11-16,278.96,275.05,279.41,274.63,"12.97M",0.73
"663",2020-11-13,276.95,277.72,277.76,273.1,"10.40M",0.68
"664",2020-11-12,275.08,277.18,279.75,274.43,"12.91M",-0.51
"665",2020-11-11,276.48,273.47,278.4,272.48,"14.96M",1.49
"666",2020-11-10,272.43,273.1,274,264,"29.07M",-2.27
"667",2020-11-09,278.77,289.87,292.58,278.53,"25.12M",-4.99
"668",2020-11-06,293.41,293.95,294.6,288.06,"13.89M",-0.43
"669",2020-11-05,294.68,291.9,297.38,288.95,"23.82M",2.54
"670",2020-11-04,287.38,281,288.94,278.62,"35.36M",8.32
"671",2020-11-03,265.3,263.16,270.05,260.88,"17.96M",1.51
"672",2020-11-02,261.36,264.6,270.47,257.34,"27.17M",-0.67
"673",2020-10-30,263.11,274.5,276.7,259.1,"47.30M",-6.31
"674",2020-10-29,280.83,276.55,283.6,273.78,"32.37M",4.92
"675",2020-10-28,267.67,278.79,278.79,267.26,"23.12M",-5.51
"676",2020-10-27,283.29,278.76,284.51,276.31,"16.29M",2.23
"677",2020-10-26,277.11,283.16,285.23,274.26,"21.32M",-2.7
"678",2020-10-23,284.79,278.8,285.24,276.82,"17.54M",2.4
"679",2020-10-22,278.12,279.87,282.45,275.04,"16.72M",-0.22
"680",2020-10-21,278.73,279.56,283.05,276.37,"29.00M",4.17
"681",2020-10-20,267.56,263.06,269.7,262.88,"18.76M",2.36
"682",2020-10-19,261.4,265.53,268.55,259.88,"13.59M",-1.7
"683",2020-10-16,265.93,267.38,271.37,265.3,"16.62M",-0.3
"684",2020-10-15,266.72,267.6,269.04,263.67,"15.42M",-1.88
"685",2020-10-14,271.82,277.62,278.75,271.5,"15.60M",-1.56
"686",2020-10-13,276.14,277.58,279.1,273.39,"18.06M",0.14
"687",2020-10-12,275.75,270.2,280.18,267.87,"31.02M",4.27
"688",2020-10-09,264.45,264.52,264.75,262.17,"14.11M",0.26
"689",2020-10-08,263.76,259.75,264.62,259.15,"16.31M",2.19
"690",2020-10-07,258.12,259.21,260.18,254.82,"23.13M",-0.21
"691",2020-10-06,258.66,261.78,265.69,258.24,"18.70M",-2.26
"692",2020-10-05,264.65,262.2,264.87,260.84,"12.82M",1.81
"693",2020-10-02,259.94,261.21,265.15,259.18,"16.37M",-2.51
"694",2020-10-01,266.63,265.35,268.33,264.8,"20.01M",1.81
"695",2020-09-30,261.9,261.98,266.08,260.1,"20.14M",0.04
"696",2020-09-29,261.79,257.81,263.33,256.9,"20.22M",1.94
"697",2020-09-28,256.82,259.4,259.6,254.82,"18.83M",0.78
"698",2020-09-25,254.82,249.4,255.75,246.61,"18.35M",2.12
"699",2020-09-24,249.53,246.5,252.24,245.62,"20.01M",0.2
"700",2020-09-23,249.02,255.26,257.99,248.15,"19.64M",-2.25
"701",2020-09-22,254.75,253.31,255.32,248.22,"30.29M",2.66
"702",2020-09-21,248.15,247.54,249.95,244.13,"24.71M",-1.73
"703",2020-09-18,252.53,258.4,259.2,250.05,"28.13M",-0.9
"704",2020-09-17,254.82,258.28,261.5,250.19,"31.28M",-3.3
"705",2020-09-16,263.52,267.29,272.44,261.79,"29.21M",-3.27
"706",2020-09-15,272.42,270.67,274.52,269.3,"18.48M",2.36
"707",2020-09-14,266.15,270.95,276.64,265.7,"24.09M",-0.17
"708",2020-09-11,266.61,270.06,271.39,262.64,"18.91M",-0.55
"709",2020-09-10,268.09,275.51,279.16,267.03,"24.81M",-2.06
"710",2020-09-09,273.72,275.77,278.48,271.35,"22.92M",0.94
"711",2020-09-08,271.16,271.28,279.3,269.42,"24.86M",-4.09
"712",2020-09-04,282.73,287.25,289,271.14,"30.33M",-2.88
"713",2020-09-03,291.12,295.99,297.6,283.63,"32.29M",-3.76
"714",2020-09-02,302.5,298.88,303.6,293.05,"24.34M",2.39
"715",2020-09-01,295.44,294.71,301.49,292.71,"17.32M",0.76
"716",2020-08-31,293.2,293.95,296.88,291.55,"17.35M",-0.16
"717",2020-08-28,293.66,295,297.23,290.98,"17.17M",0.15
"718",2020-08-27,293.22,300.16,301.23,292.02,"30.30M",-3.52
"719",2020-08-26,303.91,284,304.67,284,"69.02M",8.22
"720",2020-08-25,280.82,272.41,283.09,270.26,"42.13M",3.47
"721",2020-08-24,271.39,271.07,277.25,268.77,"23.69M",1.64
"722",2020-08-21,267.01,268.69,270.49,266.42,"15.54M",-0.74
"723",2020-08-20,269.01,261.5,269.63,261.46,"20.30M",2.44
"724",2020-08-19,262.59,261.39,267.91,261.35,"23.29M",0.1
"725",2020-08-18,262.34,260.95,265.15,259.26,"18.69M",0.45
"726",2020-08-17,261.16,262.5,264.1,259.4,"13.35M",-0.03
"727",2020-08-14,261.24,262.31,262.65,258.68,"14.79M",-0.02
"728",2020-08-13,261.3,261.55,265.16,259.57,"17.37M",0.54
"729",2020-08-12,259.89,258.97,263.9,258.11,"21.43M",1.47
"730",2020-08-11,256.13,260.19,265.92,255.13,"28.24M",-2.61
"731",2020-08-10,263,268.04,273.86,259.69,"30.25M",-2.03
"732",2020-08-07,268.44,264.08,278.89,263.43,"72.77M",1.19
"733",2020-08-06,265.28,249.04,266.6,248.66,"45.24M",6.49
"734",2020-08-05,249.12,250.19,252.27,247.77,"13.09M",-0.28
"735",2020-08-04,249.83,251.56,252.8,247.43,"17.18M",-0.85
"736",2020-08-03,251.96,252.65,255.4,250.33,"23.13M",-0.67
"737",2020-07-31,253.67,255.82,255.85,249,"53.03M",8.17
"738",2020-07-30,234.5,230.22,234.89,229,"20.62M",0.52
"739",2020-07-29,233.29,231.14,233.7,230.31,"13.59M",1.38
"740",2020-07-28,230.12,234.63,234.96,229.83,"14.17M",-1.45
"741",2020-07-27,233.5,231.46,234.95,230.83,"13.16M",1.21
"742",2020-07-24,230.71,230.19,233.49,226.9,"18.33M",-0.81
"743",2020-07-23,232.6,239.63,242.42,231.75,"21.77M",-3.03
"744",2020-07-22,239.87,240.26,241.9,238.12,"15.43M",-0.78
"745",2020-07-21,241.75,246.22,246.91,240.08,"19.41M",-1.5
"746",2020-07-20,245.42,240.06,246.05,235.63,"20.87M",1.4
"747",2020-07-17,242.03,241,244.16,237.86,"18.15M",0.46
"748",2020-07-16,240.93,238,241.76,236.33,"18.88M",0.27
"749",2020-07-15,240.28,241.55,244.82,238.05,"19.13M",0.23
"750",2020-07-14,239.73,236.76,240.33,232.03,"23.38M",0.31
"751",2020-07-13,239,247,250.15,238.42,"24.67M",-2.48
"752",2020-07-10,245.07,243.69,245.49,239.32,"22.98M",0.23
"753",2020-07-09,244.5,245,246.53,239.24,"22.17M",0.38
"754",2020-07-08,243.58,238.11,246.99,236.59,"29.79M",1.13
"755",2020-07-07,240.86,239.41,247.65,238.82,"27.89M",0.24
"756",2020-07-06,240.28,233.76,240.4,232.27,"26.21M",2.94
"757",2020-07-02,233.42,239,240,232.61,"30.63M",-1.74
"758",2020-07-01,237.55,228.5,239,227.56,"43.40M",4.62
"759",2020-06-30,227.07,220.59,227.5,218.47,"33.93M",2.91
"760",2020-06-29,220.64,209.75,220.75,207.11,"58.51M",2.11
"761",2020-06-26,216.08,232.64,233.09,215.4,"76.34M",-8.32
"762",2020-06-25,235.68,234.62,237.3,232.74,"18.70M",0.71
"763",2020-06-24,234.02,241.2,243.22,232.68,"20.83M",-3.39
"764",2020-06-23,242.24,241.28,245.19,239.86,"24.02M",1.26
"765",2020-06-22,239.22,238.56,240.7,236.91,"18.92M",0.18
"766",2020-06-19,238.79,237.79,240.83,235.55,"30.08M",1.21
"767",2020-06-18,235.94,234.99,236.14,232.15,"15.78M",0.17
"768",2020-06-17,235.53,235,237.59,231.73,"19.58M",-0.05
"769",2020-06-16,235.65,237.14,238.46,233,"15.24M",1.35
"770",2020-06-15,232.5,225.09,233.77,224.8,"15.34M",1.71
